# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: Mini Proj CAE version 2
# Creation date: 07/15/2026 16:01:49
# 
# 07/15/2026 16:01:49
# The parameters defined in the project are:
# ,P12 - LP-T [mm],P2 - LP-L [mm],P7 - LP-W [mm],P8 - UP-L [mm],P13 - UP-T [mm],P14 - UP-W [mm],P15 - Fillet [mm],P16 - Hole Radii [mm],P17 - Equivalent Stress Maximum [MPa],P18 - Total Deformation Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P12,P2,P7,P8,P13,P14,P15,P16,P17,P18
DP 0,20,100,50,100,20.000000000000004,50.000000000000007,3,10,34.074214032277,0.0488512243613569
# 
# 07/16/2026 09:30:04
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P12 - LP-T [mm],P2 - LP-L [mm],P7 - LP-W [mm],P8 - UP-L [mm],P13 - UP-T [mm],P14 - UP-W [mm],P15 - Fillet [mm],P16 - Hole Radii [mm],P17 - Equivalent Stress Maximum [MPa],P18 - Total Deformation Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P12,P2,P7,P8,P13,P14,P15,P16,P17,P18
DP 127,20,82,50,112,23,50,5,8,35.273664963916382,0.050108065526079354
DP 128,20,107,50,114,24,50,4,10,32.47241588105441,0.0473539588122747
DP 129,25,107,50,109,25,50,2,10,23.546698587193305,0.024561877055181456
DP 130,24,82,50,107,25,50,3,8,24.406287934005913,0.027953977519069098
DP 131,22,110,50,105,21,50,5,10,27.703015016379741,0.037622758169650036
DP 132,21,82,50,100,21,50,4,9,29.838408213416319,0.041726342854874574
DP 133,23,84,50,100,25,50,5,9,27.043373863059568,0.02792042245959413
DP 134,22,98,50,101,25,50,6,10,25.970810990397123,0.030633123539996594
DP 135,20,90,50,119,22,50,4,9,32.126154976436986,0.054486616791590919
DP 136,23,95,50,115,24,50,2,9,26.328309314748427,0.034448100944992788
DP 137,22,98,50,104,20,50,5,10,28.143532437681134,0.039025586965726479
DP 138,25,90,50,112,25,50,2,8,23.938877159189914,0.02651046478510723
DP 139,22,117,50,120,21,50,4,9,27.959389250419662,0.044809895791106016
DP 140,25,102,50,102,20,50,2,9,27.487775823901444,0.029302451977909746
DP 141,23,99,50,101,22,50,4,8,25.299616671750432,0.032654444301321257
DP 142,21,114,50,107,25,50,4,9,30.384872021195072,0.038658035716747988
DP 143,22,96,50,104,22,50,5,8,29.837946035343574,0.037412543860660515
DP 144,25,80,50,105,23,50,6,8,26.11277715456038,0.025628228266303756
